adivinaremos,"guess, we will guess"
cierto,"true, (?) shouldn't they, (?) shouldn't we"
comer,"eat, (to) eat, eating"
comeremos,"eat, (we) will eat, (we) will be having"
comerá,"eat, (he) will eat, he'll eat"
comerán,"(they) will eat, they'll eat"
comerás,"eat, (you) will eat, lunch"
comeré,"eat, (I) will eat, I'll have"
competencia,competition
competencias,competitions
de moda,"in style, vogue, fashionable"
de todas formas,"in any case, anyway, time"
eléctrica,"electric, electrical, electricity company"
eléctricas,electric
eléctrico,"electric, electrical"
eléctricos,"electrical, electrics, electric"
en realidad,actually
error,"mistake, error, mistakes"
errores,"mistakes, errors"
estar,"be, (to) be, (to) stay"
estaremos,"be, (we) will be, we'll"
estará,"be, (?) will it be, (he) will be"
estarán,"be, (?) will they be, (they) will be"
estarás,"be, (you) will be, (?) will you be"
estaré,"be, (I) will be, (I) will stay"
etcétera,"etc, etc."
finalmente,"finally, in the end, At last"
futuro,future
ganador,winner
ganadora,winner
hablar,"talk, (to) talk, (to) speak"
hablaré,"(I) will talk, (I) will speak, I'll talk"
irán,"will go, (?) will you be going, go"
irás,"(you) will go, (?) will you go, (?) will you leave"
mejorar,"(to) improve, (to) get better"
mejoraremos,"(we) will improve, (we) will increase, (we) will give birth"
mejorará,"better, (it) will improve"
mejorarán,"better, (they) will improve"
nos volveremos,we will return
objetivo,"objective, aim, (I) objectify"
objetivos,"goals, targets"
posiblemente,possibly
se volverá,It will become in
se volverán,they will turn
seremos,"be, (we) will be, are"
será,"be, (he) will be, (it) will be"
serán,(they) will be
serás,"be, (you) will be, are"
seré,"be, (I) will be, made"
suerte,"luck, lucky"
tal vez,"perhaps, maybe"
te volverás,you will come back
trata,"(he/she/it) tries, try!, (he/she/it) treats"
trataba,"(I/he/she/it/you) was/were trying, (I/he/she/it/you) used to treat, (I/he/she/it/you) was/were treating"
tratando,trying
trataremos,"try, (we) will try"
tratarán,"try, cover"
tratarás,try
trato,"deal, (I) try, (I) treat"
título,"title, degree"
títulos,"bonds, securities, headers"
vivir,"live, (to) live, living"
vivirás,"(you) will live, (you) will be alive, stay"
viviré,"(I) will live, live, (I) will be alive"
volverme,"become, (to) become"
volvernos,"become, (to) become"
volverse,"turn, (to) become, (to) turn"
volverte,"(to) return (you), (to) turn … inside out (you), (to) turn over (you)"
