acompañaba,accompanied
acompañaban,accompanied
almorzaban,they had lunch
almorzabas,you had lunch
almorzar,to have lunch
almorzábamos,we had lunch
caminaba,walked
caminaban,they walked
caminábamos,we were walking
compraba,bought
compraban,they bought
comprabas,you bought
comprábamos,we bought
conversaba,talked
conversaban,they talked
correr,rush
corría,ran
corríamos,we ran
corrían,they ran
corrías,you ran
cuidaba,cared
cuidabas,you took care
cuidar,look after
descansaba,rested
descansaban,rested
descansábamos,we rested
dibujos animados,Cartoon
dormir,to sleep
dormíamos,we slept
dormías,you were sleeping
dulces,sweets
escribía,wrote
escribían,were writing
escribías,you wrote
estudiaban,they studied
estudiar,to study
estudiábamos,we studied
ganar,win
geografía,geography
gustaba,liked
gustaban,they liked
gustar,like
iba,I was going
iban,were going
ibas,you were going
lavaba,washed
lavábamos,we washed
limpiaban,they cleaned
limpiabas,you cleaned
limpiábamos,we cleaned
mecánica,mechanics
mecánicas,mechanical
mecánico,mechanic
mecánicos,mechanics
patio de juego,play ground
patios de juego,playgrounds
recibir,to receive
recibía,received
recibían,received
refresco,soft drink
refrescos,refreshments
tomaban,they drank
tomabas,you drank
tomar,drink
tomábamos,we drank
trabajabas,you worked
trabajando,working
íbamos,we were going
