querrás,love
querrá,"(he/she/it/you) will want, love, want"
querremos,"(we) will want, want"
querré,"(I) will want, love, want"
querrán,"want, (they/you-plural) will want, love"
recibirán,"meet, take, get"
recibiremos,"met, meet, we will receive"
recibirás,(you) will get
libres,"free, off"
libre,"free, off"
tipo,"type, guy, kind"
tipos,"kinds, types, guys"
común,"common, average, mutual"
comunes,"common, commons, mutual"
modelo,model
modelos,"models, numbers"
tumbarte,(to) lie down
tumbarse,lie
tumbarme,(to) lie down
reservaré,(I) will reserve
reservará,"(he/she/it/you) will reserve, (he/she/it/you) will keep … for oneself, (he/she/it/you) will book"
reservaremos,"(we) will save oneself, book, (we) will book"
reservarán,"they'll reserve, book, hold"
reservarás,"(you) will save oneself, hold, (you) will reserve"
compartiré,"(I) will share, I'll share"
compartiremos,"we'll share, (we) will share"
clic,click
igual,"is, anyway, as"
organizó,organized
organizando,arranged
organizas,(you) organize
organizar,"(to) arrange, (to) cause, (to) organize"
organizo,(you) organize
organiza,"organize, organizes"
organizaste,(?) did you organize
organicé,(I) organized
hoja,"leaf, sheet, blade"
hojas,"leaves, sheets, blades"
acompañaremos,see
acompañará,(he) will go with you
acompañaré,"see, walk"
acompañarán,see
conversarán,(they) will talk
conversaré,"(I) will gab, (I) will talk, (I) will chat"
conversarás,(you) will talk
conversaremos,"(we) will gab, (we) will chat, (we) will talk"
lado,side
me veré,I'll see myself
nos veremos,"(we)  will watch, (we)  will see, (we)  will imagine"
te verás,you will see you
se verá,look
se tumban,they lie down
nos tumbamos,we lay down
se tumba,lies down
me tumbo,I lie
sino,"but, but rather, if not"
exactamente,exactly
construiremos,"(we) will build, (we) will construct"
construiré,(I) will build
construirán,"(they/you-plural) will construct, (they/you-plural) will build"
construir,(to) build
construirá,"(he/she/it/you) will construct, (he/she/it/you) will build"
carrera,"career, race, degree"
carreras,"races, careers, cart driver"
la parte de abajo,the bottom
ando,"(I) walk, ride, (I) go"
andar,"going, (to) walk, ride"
anda,"(he/she/it) walks, (he/she/it) works, (he/she/it) is"
andamos,"(we) wear something, (we) are, (we) walk"
andan,"(they/you-plural) go, (they/you-plural) wear something, (they/you-plural) work"
felicidades,congratulations
izquierdo,"left, nearest"
izquierda,left
diseña,"(he/she/it) designs, outline!, design!"
diseñó,planned
diseño,"(I) design, (I) plan, (I) outline"
diseñé,planned
diseñar,"design, planned, plan"
