abuelito,Grandpa
aventura,adventure
aventuras,adventure
campamento,camp
campamentos,camps
compañera de cuarto,roommate
compañeras de clase,classmates
compañeras de cuarto,Roommates
compañero de clase,classmate
compañero de cuarto,Roommate
compañeros de clase,classmates
compañeros de cuarto,roommates
cuentos,stories
dije,I said
dijiste,said
dijo,said
hace,make
juego de mesa,board game
juegos de mesa,table games
llevamos,we carry
llevó,I have
me acordé,I remembered
momento,moment
momentos,moments
nos acordamos,we remember
nota,note
notas,notes
premio,prize
premios,awards
prima,cousin
primas,cousins
primo,cousin
primos,cousins
recibe,receives
recibimos,We received
recibir,to receive
recibió,He received
recuerdo,memory
se acordaron,they agreed
se acordó,he remembered
te acordaste,did you remember
traje,costume
trajiste,you brought
trajo,He brought
tuve,I had
tuviste,You saw
tuvo,had
