acamparemos,we will camp
acamparán,they will camp
acamparé,I will camp
aire,air
cielo,sky
conducir,to drive
conduje,Drove
cubre,it covers
cubrieron,covered
cubrió,covered
descansaremos,we will rest
descansarán,they will rest
descansaré,I will rest
especialmente,especially
grados,degrees
impermeable,raincoat
inusual,unusual
llover,rain
llovía,it was raining
me quito,I take off
navegaremos,we will sail
navegará,will navigate
navegarán,they will navigate
navegaré,i will sail
nevaba,it was snowing
nevar,to snow
nevará,it will snow
niebla,fog
nos quitamos,we take off
nube,cloud
pantalones cortos,Shorts
patada,kick
patadas,kicks
pescamos,we fish
pescó,fished
pesqué,I fished
quitarme,take me away
quitarnos,take away from us
quitarse,take off
quitarte,take away
quizás,maybe
rueda,wheel
ruidosa,noisy
ruidoso,noisy
salta,jump
saltan,they jump
salto,jump
se quita,it is removed
se quitan,are removed
temperatura,temperature
tormenta,storm
