veía,"(I) saw, (I) used to see, (he) used to see"
veías,"(you) used to see, (?) did you use to see"
patines,"skates, skate"
castaño,brown
casi,"almost, nearly, most"
luego,"then, later, after"
amas de casa,homemakers
ama de casa,"homemaker, housewife"
escúter,scooter
patinar,"skating, skate, to skate"
liso,straight
hacía,"(I) used to do it, (I) used to make, (it) was"
hacían,"(they/you-plural) used to do, made, (they/you-plural) used to voice"
hacías,"(you) were doing, (you) used to do, (you) used to work"
hacíamos,"(we) used to make, (we) used to do, (we) used to pack"
baterías,"batteries, drum kit, drums"
batería,"battery, drums, drum kit"
globo,"balloon, world"
globos,balloons
payaso,"clown, comedian, joker"
payasos,"clowns, comedian, jokers"
veíamos,"(we) used to watch, (we) used to see, (we) used to hear"
veían,"(they) used to see, (they) watched"
adolescente,"teenager, adolescent, teen"
adolescentes,"teens, adolescents, teenagers"
compartir,"(to) share, share, sharing"
fútbol americano,football
cita,"appointment, date"
pósteres,posters
póster,poster
patinaba,"(she) used to skate, (I) would skate"
patinábamos,(we) would skate
patinaban,(they) were skating
patinabas,(you) were skating
patina,skates
había,"had, there was, it was"
zanahoria,carrot
zanahorias,carrots
armario,closet
mientras,"while, as, as long as"
compartían,(they) would share
comparten,(they) share
compartió,(she) shared
compartiendo,sharing
compartía,"(I) would share, (she) used to share"
compartimos,"(we) shared, (we) share"
compartías,"(you) used to share, share, (?) did you share"
comparto,"(I) share, share"
compartes,share
