adivinaremos,we will guess
cierto,certain
comer,eat
comeremos,we will eat
comerá,will eat
comerán,will eat
comerás,you will eat
comeré,I will eat
competencia,competence
competencias,skills
de moda,Fashion
de todas formas,anyway
eléctrica,electrical
eléctricas,electrical
eléctrico,electric
eléctricos,electrical
en realidad,in reality
error,mistake
errores,mistakes
estar,to be
estaremos,we will be
estará,will be
estarán,they will be
estarás,you will be
estaré,I will be
etcétera,and so on
finalmente,Finally
futuro,future
ganador,winner
ganadora,winner
hablar,to talk
hablaré,I&#39;ll talk
irán,Iran
irás,you will go
mejorar,improve
mejoraremos,we will improve
mejorará,upgrade to
mejorarán,will improve
nos volveremos,we will return
objetivo,target
objetivos,objectives
posiblemente,possibly
se volverá,It will become in
se volverán,they will become
seremos,we will be
será,will be
serán,will be
serás,you will
seré,I will be
suerte,lucky
tal vez,maybe
te volverás,you will become
trata,treats
trataba,tried
tratando,treating
trataremos,we will try
tratarán,will try
tratarás,you will try
trato,deal
título,title
títulos,Titles
vivir,to live
vivirás,you will live
viviré,I will live
volverme,turn me back
volvernos,turn
volverse,become
volverte,turn you back
