abril,April
agosto,August
buen tiempo,good time
cómo está el tiempo,how's the weather
diciembre,December
enero,January
febrero,february
hace calor,is hot
hace frío,it's cold
invierno,winter
inviernos,winters
julio,July
junio,june
llueve,Rains
mal tiempo,bad weather
marzo,march
mayo,May
mes,month
meses,months
nieva,snows
noviembre,november
nublado,cloudy
octubre,October
oscuro,Dark
oscuros,dark
otoños,autumns
primavera,spring
primaveras,springs
qué tiempo hace,How is the weather
septiembre,september
sol,sun
viento,wind
vientos,winds
