academia,academy
academias,academies
acento,accent
autor,Author
autora,author
autoras,authors
biografía,Biography
caminando,walking
cocinando,cooking
corriendo,in a hurry
corrigiendo,correcting
eligiendo,picking out
en este momento,at this time
ficción,fiction
heroína,heroin
heroínas,heroines
héroe,hero
llamando,calling
llamándolo,calling him
línea,line
líneas,lines
multiplicar,multiply
multiplicarlos,multiply them
números,numbers
respondiendo,answering
siguiendo,Following
solo,only
tomando,taking
viendo,watching
visitando,visiting
visitándolos,visiting them
