aprenderíamos,we would learn
aprenderían,they would learn
comería,would eat
comerían,would eat
comerías,would you eat
competir,compete
competiría,would compete
competirías,would you compete
comprar,purchase
concurso,contest
conocerían,they would know
cultura,culture
culturas,cultures
dormiríamos,we would sleep
dormirían,they would sleep
en
                    mi lugar,in my place
en su lugar,instead
en tu lugar,in your place
entre,Come in
escribiría,would write
imaginan,imagine
imaginarias,imaginary
imaginario,imaginary
imaginas,imagine
leerían,would read
maravillosa,wonderful
maravilloso,marvelous
planeta,planet
preferiría,I'd prefer
secreta,secret
secretas,secret
secreto,secret
secretos,secrets
tanto,so much
trabajar,to work
trabajarías,would you work
u,or
viajaríamos,we would travel
viajarías,would you travel
visitar,to visit
visitaría,would visit
visitarías,would you visit
viviría,would live
éxito,success
éxitos,hits
