almorcé,I lunched
bufanda,scarf
bufandas,scarves
calcetines,socks
calcetín,sock
corbata,tie
corbatas,ties
diaria,daily
diarias,daily
dormiste,you slept
durmieron,they slept
durmió,slept
maquillaje,make-up
me acosté,I went to bed
me desperté,I woke up
me
                    duché,I showered
me lavé,I washed
me probé,i tried myself
me quedé,I stayed
me reuní,I met
mermelada,jam
nos acostamos,we go to bed
nos despertamos,we wake up
nos duchamos,we showered
nos preocupamos,we care
nos probamos,we tried ourselves
nos quedamos,we stayed
nos reunimos,we met
pasta,pasta
peine,comb
perfecta,perfect
perfecto,perfect
perfectos,perfect
se acostaron,they went to bed
se acostó,went to bed
se despertaron,they woke up
se despertó,he woke up
se ducharon,they showered
se duchó,took a shower
se lavaron,They were washed
se lavó,He washed
se preocuparon,they worried
se preocupó,he worried
se probaron,they tried
se probó,it was tried
se quedaron,they remained
se quedó,he stayed
se reunieron,They met
se reunió,met
suaves,soft
suéter,sweater
suéters,sweaters
te acostaste,you went to bed
te despertaste,you woke up
te duchaste,you showered
te lavaste,you washed
te probaste,you tried
te quedaste,you stayed
te reuniste,you met
tostada,toast
tostadas,toasts
traje,costume
trajes,suits
uniforme,uniform
uniformes,uniforms
vestirse,get dressed
