almohadas,pillows
alquiler,rental
ascensor,lift
botas montañeras,mountaineering boots
cancelaciones,cancellations
cancelación,cancellation
cinturones,belts
cinturón,belt
contactar,contact
contactaron,contacted
contacté,contacted
contactó,Contact
crucé,crossing
cruzar,Cross
cruzaron,crossed
cruzaste,you crossed
efectivo,cash
escalar,climb
escalaremos,we will climb
escalaron,they climbed
escalaste,you climbed
este,East
extranjero,Foreign
extranjeros,foreign
fila,line
indicaciones,indications
manera,way
metro,meter
neumático,tire
oeste,West
perderemos,we will lose
perdimos,we lost
perdió,lost
perdí,I missed
plata,silver
sube,goes up
subimos,we climb
subir,increase
tenemos prisa,We are in a hurry
tengo prisa,I&#39;m in a hurry
tenía prisa,I was in a hurry
tenías prisa,you were in a hurry
tiene prisa,in a hurry
tienen prisa,they are in a hurry
tienes prisa,hurry
tráfico,traffic
volamos,we fly
vuela,Flying
vuelan,they fly
vuelo,flight
