amar,to love
amaron,they loved
amaste,you loved
amé,I loved
amó,love
construimos,we build
construir,build up
construye,build
construyen,build
construyes,you build
construyo,I build
costaron,they cost
costó,cost
decir,say
decía,He said
decíamos,we said
decían,they were saying
decías,you said
dejaste,you left
dejé,leave
dejó,let
deliciosa,delicious
delicioso,delicious
destruimos,we destroy
destruir,destroy
destruirá,will destroy
destruirán,will destroy
destruye,destroy
destruyen,destroy
destruyes,you destroy
destruyo,He destroyed
golpea,hit
golpear,beat
golpeas,you hit
incluimos,we include
incluyen,include
incluyes,you include
incluyo,I include
individual,individual
individuales,individual
mantenemos,we keep
mantener,hold
mantengo,I keep
mantiene,maintains
mantienen,keep
mantienes,you keep
matar,to kill
matarán,they will kill
mataré,i will kill
mató,killed
muchacha,girl
muchachas,Girls
muchacho,young guy
muchachos,boys
murió,died
podía,could
podían,they could
puesta,put
puestas,on
puestos,stalls
sabía,knew
sabían,they knew
soñaron,they dreamed
soñaste,you dreamed
soñé,i dreamed
soñó,dreamed
suceder,happen
sucederá,will happen
sucederán,will happen
suponemos,we suppose
suponer,suppose
supongo,I suppose
