abuelito,grandpa
aventura,adventure
aventuras,"adventures, adventure"
campamento,"camp, camping"
campamentos,"camps, camping"
compañera de cuarto,roommate
compañeras de clase,classmates
compañeras de cuarto,roommates
compañero de clase,classmate
compañero de cuarto,roommate
compañeros de clase,classmates
compañeros de cuarto,roommates
cuentos,"stories, tales"
dije,"(I) said, (I) told"
dijiste,"(you) said, (?) did you say, (?) did you tell"
dijo,"(?) did he say, (?) did she say, (he) said"
hace,"ago, (?) are you making, (?) does he do"
juego de mesa,board game
juegos de mesa,board games
llevamos,"(we) took, (we) are carrying"
llevó,"(?) has he packed, (he) carried, (he) took"
me acordé,"(I) didn't remember, (I)  remembered"
momento,"moment, time"
momentos,moments
nos acordamos,"(we) remembered, remember, (we) remember"
nota,"note, grade"
notas,grades
premio,prize
premios,"awards, prizes"
prima,cousin
primas,cousins
primo,cousin
primos,cousins
recibe,"(he) gets, (he) receives, (she) receives"
recibimos,"(we) get, (we) got, (we) receive"
recibir,"(to) receive, (to) get, take"
recibió,"(he) got, (he) received, (she) got"
recuerdo,"(I) remember, memory"
se acordaron,they remembered
se acordó,(?) did you remember
te acordaste,"(you)  remembered, (?) did you remember"
traje,"suit, (I) brought"
trajiste,"(you) brought, (?) did you bring, get"
trajo,"(?) did you bring, (he) brought, (she) brought"
tuve,"(I) had, have"
tuviste,"(you) had, (?) did you have"
tuvo,"(?) did she have, (?) did you have, (he) had"
