Word,Translations
extranjero,"foreign"
metro,"subway, meter, meters"
efectivo,"cash"
ascensor,"elevator"
cancelación,"cancellation"
cruzar,"(to) cross, cross, crossing"
crucé,"(I) crossed, cross"
fila,"line"
neumático,"tire, pneumatic, tyre"
contactar,"(to) contact, contact"
indicaciones,"directions"
escalar,"climbing, (to) climb, climb"
perder,"(to) lose, (to) miss, failed"
manera,"way, manner, so that"
tráfico,"traffic"
volamos,"(we) flew, (we) fly"
alquiler,"rent"
cinturón,"belt"
subir,"up, (to) get on, (to) get in"
almohada,"pillow"
vuela,"(he) flies"
este,"this, east"
pila,"battery, basin, bowl"
plata,"silver"
botas montañeras,"mountaineering boots"
tengo prisa,"I am in a hurry"
tuvimos prisa,"we were in a hurry"
mezquita,"mosque"
oeste,"west"
