ama de casa,Housewife
amas de casa,Housewives
armario,cupboard
batería,drums
baterías,batteries
casi,almost
castaño,Brown
cita,appointment
escúter,scooter
fútbol americano,football
globo,balloon
globos,balloons
había,there was
hacía,towards
hacíamos,we did
hacían,they did
hacías,you did
liso,smooth
luego,later
mientras,While
patinaba,skated
patinaban,they skated
patinabas,you skated
patinar,rollerblading
patines,roller skates
patinábamos,we skated
patín,roller skate
payaso,clown
payasos,clowns
póster,poster
pósteres,posters
veía,saw
veíamos,we saw
veían,they saw
veías,you saw
zanahorias,carrots
