alguien,someone
amistad,friendship
audiencia,audience
caballero,Knight
campesino,farmer
campesinos,farmers
ciudadana,citizen
ciudadano,citizen
ciudadanos,citizens
con calma,calmly
confiar,rely
costumbre,custom
costumbres,customs
doble,double
enemigo,enemy
enemigos,enemies
feria,fair
gentes,people
humanidad,humanity
individuo,individual
individuos,individuals
matrimonio,marriage
mil,one thousand
miles,Thousands
nadie,no one
ni,neither
paciente,patient
pareja,couple
personalidad,personality
revolución,revolution
sentirse,feel
sino,otherwise
tercera,third
tercero,third
testigo,witness
testigos,witnesses
todos,everyone
toneladas,tons
trabajador,employee
trabajadoras,workers
trabajadores,workers
turismos,passenger cars
tímido,shy
vecina,neighbor
vecino,neighbour
vecinos,neighbours
víctima,victim
víctimas,victims
