Word, Translations
hablar español,speak Spanish
tomar el,take the
trabajar en,work in
tú hablas,you speak
toma,he takes
trabajamos,we work
ellos hablan,they speak
tomamos,we take
trabajan,they work
quiero beber,I want to drink
comer una,eat one
leer este,read this
tú bebes,you drink
ella come,she eats
nosotros leemos,we read
beben,they drink
nosotros comemos,we eat
ellos leen,they read
necesita escribir,need to write
vivir en,live in
tú escribes,you write
usted vive,you live
abrimos,we open
ellas escriben,they write
nosotras vivimos,we live 
abren,they open
necesitamos abrir,we need to open
necesito comprar,I need to buy
quiere aprender,He wants to learn
compramos,we buy
aprendemos,we learn
salimos,we leave
compran,they buy
aprenden,they learn
salen,they leave
salir,to leave
