cambiamos,we changed
cambiando,Changing
cambiar,change
decir,say
empiezas,you start
fecha,date
fechas,dates
gustar,like
gustaría,would like
invitan,invite
invitar,invite
invitas,you invite
invito,invite
luego,later
me quedo,I stay
nos quedamos,we stayed
pensamos,we think
pensando,thinking
pensar,to think
piensa,think
pienso,I think
plan,plan
planes,plans
por supuesto,of course
primero,First
puedes,you may
que viene,coming
quedarse,stay
se queda,stays
se quedan,they stay
sobre,on
te quedas,you stay
todo el mundo,all the world
vengo,I come
venimos,we come
venir,to come
viene,comes
vienen,they come
vienes,you come
vuelvo,I come back
