amor,love
autobiografía,autobiography
breve,brief
breves,brief
capítulo,chapter
capítulos,chapters
charlar,to chat
ciencia ficción,Science fiction
creativa,creative
creativo,creative
empezarán,they will start
escribir,to write
escribiremos,we will write
escribirás,you will write
escritor,writer
estudiaremos,will study
estudiarán,they will study
firma,signature
firmamos,we sign
firman,sign
firmará,will sign
firmas,firms
firme,sign
firmo,I sign
hispana,hispanic
hispanos,hispanic
leerlo,reading it
leerán,they will read
literatura,literature
llamarse,called
llamará,call to
llamaré,I will call
llegaremos,we will arrive
llegará,reach
llegaré,I will arrive
novela,novel
novelas,novels
poema,poem
protagonistas,protagonists
párrafo,paragraph
párrafos,paragraphs
quedaremos,we will stay
quedará,will remain
quedarás,you will stay
quedaré,I will stay
romántica,romantic
romántico,Romantic
románticos,romantic
se llamará,Will be called
se llamarán,they will be called
terminarás,you will finish
terminaré,I will finish
textos,texts
traducirán,will translate
traduciré,I will translate
veremos,we will see
verá,you will see
verán,they will see
verás,you will see
veré,I will see
