almuerza,lunch
almuerzo,lunch
cien,hundred
dan,give
dar,give
decimos,we say
dice,He says
dicen,they say
dices,you say
digo,say
doy,I give
hermoso,handsome
inglesas,English
ingleses,English
le,you
le hago,I do
les,them
mandamos,we sent
mandar,send
mandas,you send
mesera,waitress
mesero,waiter
mil,one thousand
millones,millions
millón,million
nada,any
nada es,nothing is
noventa,ninety
ochenta,eighty
oficinas,Offices
portuguesa,portuguese
portuguesas,portuguese
portugueses,portuguese
pregunta,Question
preguntamos,we asked
preguntan,they ask
preguntar,to ask
preguntas,questions
pregunto,I ask
setenta,seventy
